phase,round_code,round_label,game_datetime_raw,venue_raw,home_team,away_team,home_score,away_score,status,game_url
14 Boys - VC Ashe Friday Boys U14,R5,Round 5,08:00 PM - Friday 24 April 2026,Boroondara Sports Complex / Court 2,Hawthorn U14 Boys 1,Diamond Valley U14 Boys 1,64,51,Hawthorn U14 Boys 1 won by 13 points,
14 Boys - VC Ashe Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Dandenong Stadium / Court 1,Dandenong U14 Boys 1,Frankston U14 Boys 1,58,56,Dandenong U14 Boys 1 won by 2 points,
14 Boys - VC Ashe Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Cardinia Life Aquatic and Recreation Centre / Court 1,Pakenham U14 Boys 1,Camberwell U14 Boys 1,59,75,Camberwell U14 Boys 1 won by 16 points,
14 Boys - VC Ashe Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Kilsyth Basketball Stadium / Court 5,Kilsyth U14 Boys 1,Sandringham U14 Boys 1,68,65,Kilsyth U14 Boys 1 won by 3 points,
14 Boys - VC Ashe Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Mullum Mullum Stadium / Court 1,Bulleen U14 Boys 1,Keilor U14 Boys 1,49,61,Keilor U14 Boys 1 won by 12 points,
14 Boys - VC Watson Friday Boys U14,R5,Round 5,07:00 PM - Friday 24 April 2026,Eagle Stadium / Court 1,Wyndham U14 Boys 1,Westgate U14 Boys 1,64,50,Wyndham U14 Boys 1 won by 14 points,
14 Boys - VC Watson Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Altona Sports Centre / Court 1,Altona U14 Boys 1,Broadmeadows U14 Boys 1,66,88,Broadmeadows U14 Boys 1 won by 22 points,
14 Boys - VC Watson Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Montmorency Secondary College / Court 1,Eltham U14 Boys 1,Bendigo U14 Boys 1,62,84,Bendigo U14 Boys 1 won by 22 points,
14 Boys - VC Watson Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,State Basketball Centre / Court 8,Knox U14 Boys 1,Nunawading U14 Boys 1,66,60,Knox U14 Boys 1 won by 6 points,
14 Boys - VC Watson Friday Boys U14,R5,Round 5,08:20 PM - Friday 24 April 2026,Beyond Bank Stadium / Court 1,Geelong United U14 Boys 1,Waverley U14 Boys 1,51,46,Geelong United U14 Boys 1 won by 5 points,
